Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,48.945000,54.512501,48.625000,53.849998,53.287724,243371200
2018-01-08,55.099998,56.567501,54.000000,55.744999,55.162933,272682800
2018-01-15,56.012501,57.772499,54.172501,57.527500,56.926826,225876800
2018-01-22,57.607498,60.834999,57.025002,60.832500,60.197315,253238400
2018-01-29,60.685001,62.317501,57.792500,58.380001,57.770428,274221200
2018-02-05,56.750000,59.722500,51.000000,58.020000,57.414192,590154000
2018-02-12,58.840000,62.500000,56.257500,60.959999,60.323494,380024000
2018-02-19,61.187500,62.992500,59.875000,61.482498,60.840534,252819600
2018-02-26,61.950001,62.227501,55.462502,59.134998,58.553909,340141200
2018-03-05,58.627499,61.462502,57.380001,61.332500,60.729828,275622800
2018-03-12,61.750000,63.625000,61.509998,62.619999,62.004662,253173600
2018-03-19,62.044998,63.000000,58.130001,58.242500,57.670181,299397200
2018-03-26,59.500000,62.500000,54.250000,57.897499,57.328575,388295600
2018-04-02,57.185001,58.662498,53.267502,53.562500,53.036163,374292000
2018-04-09,54.200001,59.377499,53.650002,57.875000,57.306286,281840000
2018-04-16,57.942501,59.812500,56.700001,57.177502,56.615646,204757600
2018-04-23,57.357498,57.875000,52.575001,56.582500,56.026497,220726800
2018-04-30,56.747501,59.797501,55.549999,59.764999,59.177719,169368400
2018-05-07,60.822498,65.125000,60.722500,63.632500,63.007221,399952800
2018-05-14,64.017502,64.622498,60.375000,61.485001,60.880825,304399600
2018-05-21,62.470001,62.507500,60.062500,62.320000,61.707623,233132800
2018-05-28,62.137501,64.467499,61.674999,64.404999,63.811569,165951600
2018-06-04,64.750000,66.647499,64.425003,65.570000,64.965828,213499600
2018-06-11,65.442497,67.300003,64.915001,66.315002,65.703964,178501600
2018-06-18,65.870003,66.449997,62.582500,62.737499,62.159435,211465600
2018-06-25,61.662498,61.700001,58.752499,59.224998,58.679295,232890400
2018-07-02,58.522499,61.917500,58.314999,61.832500,61.262768,118287200
2018-07-09,62.582500,63.535000,61.517502,62.330002,61.755684,162390000
2018-07-16,62.049999,63.575001,61.294998,62.722500,62.144581,129491600
2018-07-23,62.455002,64.150002,60.820000,63.005001,62.424473,159586000
2018-07-30,63.147499,63.264999,60.302502,63.025002,62.444283,139184000
2018-08-06,62.897499,65.059998,62.427502,63.697498,63.110584,118841600
2018-08-13,63.785000,65.910004,60.932499,61.205002,60.641056,337701200
2018-08-20,60.794998,68.202499,59.680000,68.055000,67.427956,353042800
2018-08-27,68.355003,70.430000,67.382500,70.169998,69.523438,205446800
2018-09-03,70.037498,71.305000,66.797501,67.964996,67.375603,140309200
2018-09-10,68.192497,69.775002,65.480003,69.107498,68.508186,157481600
2018-09-17,68.849998,69.559998,65.527496,65.862503,65.291344,159562000
2018-09-24,65.550003,70.480003,64.669998,70.254997,69.645729,176667200
2018-10-01,71.040001,73.190002,66.885002,67.464996,66.879913,214443200
2018-10-08,66.625000,67.790001,58.564999,61.634998,61.100487,270072400
2018-10-15,61.500000,62.470001,56.924999,57.292500,56.795650,232576800
2018-10-22,57.820000,58.830002,48.279999,49.572498,49.142597,349607200
2018-10-29,50.997501,55.500000,44.002499,53.730000,53.264042,333046800
2018-11-05,53.597500,54.352501,50.259998,51.417500,50.971596,208674800
2018-11-12,50.494999,51.720001,40.402500,41.107498,40.751011,459263600
2018-11-19,40.447498,40.455002,33.327499,36.250000,35.935631,482731600
2018-11-26,37.472500,40.965000,36.639999,40.857498,40.503174,363615200
2018-12-03,43.150002,43.669998,36.404999,36.902500,36.619080,307690000
2018-12-10,36.450001,38.972500,36.205002,36.612499,36.331303,289872400
2018-12-17,36.310001,37.582500,32.115002,32.392502,32.143719,358593200
2018-12-24,31.622499,34.347500,31.115000,33.412498,33.155880,242471200
2018-12-31,33.849998,34.619999,31.922501,34.047501,33.786011,226506400
2019-01-07,34.625000,37.437500,34.107498,37.207500,36.921738,351035600
2019-01-14,36.680000,39.494999,36.442501,39.232498,38.931183,296205600
2019-01-21,38.927502,40.220001,36.887501,40.037498,39.729992,311611600
2019-01-28,34.137501,36.697498,32.750000,36.182499,35.904602,610758800
2019-02-04,36.342499,38.900002,36.032501,37.042500,36.758007,287220400
2019-02-11,36.597500,40.967499,36.125000,39.334999,39.032898,403562400
2019-02-18,39.227501,40.314999,38.794998,39.797501,39.491848,194316800
2019-02-25,40.639999,41.320000,38.277500,39.112499,38.812099,232687200
2019-03-04,39.500000,39.730000,36.200001,37.660000,37.409275,204896000
2019-03-11,37.897499,42.882500,37.422501,42.452499,42.169865,338907200
2019-03-18,42.770000,46.250000,41.965000,44.375000,44.079567,363306800
2019-03-25,43.965000,45.437500,42.777500,44.889999,44.591145,264025200
2019-04-01,45.814999,47.912498,45.092499,47.737499,47.419682,264736800
2019-04-08,47.430000,48.367500,46.889999,47.502499,47.186245,215524400
2019-04-15,47.424999,47.615002,45.775002,46.575001,46.264919,156704800
2019-04-22,46.337502,48.202499,43.325001,44.522499,44.226089,231328000
2019-04-29,44.602501,46.217499,43.875000,45.752499,45.447903,184062800
2019-05-06,43.875000,45.084999,41.000000,42.205002,41.924019,262631200
2019-05-13,40.875000,41.107498,38.735001,39.132500,38.871979,348726800
2019-05-20,38.137501,38.924999,36.220001,36.287498,36.045906,220920800
2019-05-27,36.465000,36.794998,33.847500,33.865002,33.639549,177217600
2019-06-03,33.977501,36.720001,33.150002,36.375000,36.174076,238909200
2019-06-10,36.939999,38.090000,35.709999,36.160000,35.960262,184805200
2019-06-17,36.142502,39.332500,35.912498,37.939999,37.730427,197420000
2019-06-24,38.154999,41.342499,37.680000,41.057499,40.830711,202199600
2019-07-01,43.142502,43.487499,39.419998,40.057499,39.836239,175317200
2019-07-08,39.457500,42.617500,38.750000,41.902500,41.671040,231367600
2019-07-15,42.115002,43.177502,41.209999,42.110001,41.877392,176657600
2019-07-22,42.325001,44.722500,42.250000,43.767502,43.525745,177721200
2019-07-29,43.695000,43.985001,39.820000,40.297501,40.074898,165490800
2019-08-05,38.450001,39.577499,37.224998,38.544998,38.332092,197410400
