Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,137.750000,140.440002,137.440002,140.369995,127.473457,11512900
2018-01-08,140.309998,142.850006,140.070007,142.750000,129.634796,12145200
2018-01-15,143.529999,143.929993,141.710007,143.919998,130.697311,11554600
2018-01-22,143.839996,146.869995,143.839996,146.860001,133.367218,14751000
2018-01-29,146.580002,146.820007,141.240005,141.300003,128.318024,20505000
2018-02-05,140.210007,141.399994,129.839996,134.229996,121.897514,44482200
2018-02-12,135.350006,141.229996,134.229996,140.110001,127.237335,15967800
2018-02-19,139.559998,140.960007,138.380005,140.860001,127.918419,8223400
2018-02-26,141.500000,142.860001,135.830002,138.240005,125.539131,14229300
2018-03-05,137.550003,143.300003,137.500000,143.300003,130.134277,12906300
2018-03-12,143.490005,144.139999,141.110001,141.660004,128.644928,10752100
2018-03-19,141.160004,141.399994,133.029999,133.100006,120.871384,15760600
2018-03-26,135.089996,137.309998,133.229996,135.720001,123.751221,14255800
2018-04-02,135.289993,137.229996,131.259995,133.869995,122.064362,19995100
2018-04-09,134.720001,137.750000,134.160004,136.580002,124.535393,10508400
2018-04-16,137.539993,139.850006,136.970001,137.500000,125.374260,12340400
2018-04-23,137.779999,138.190002,134.610001,137.330002,125.219284,9780800
2018-04-30,137.690002,137.990005,133.660004,137.130005,125.036896,10718800
2018-05-07,137.649994,140.869995,136.979996,140.570007,128.173523,7266300
2018-05-14,140.940002,141.300003,139.339996,140.199997,127.836136,7591200
2018-05-21,141.059998,141.660004,139.860001,140.600006,128.200851,6614000
2018-05-28,139.800003,141.649994,138.539993,141.500000,129.021500,7840700
2018-06-04,141.899994,144.000000,141.729996,143.910004,131.218948,10302700
2018-06-11,144.000000,144.660004,143.229996,144.149994,131.437805,9786900
2018-06-18,143.300003,144.190002,142.369995,142.449997,129.887680,8142000
2018-06-25,141.850006,141.990005,138.990005,140.429993,128.588669,13716300
2018-07-02,139.559998,143.000000,139.429993,142.789993,130.749649,8704600
2018-07-09,143.460007,144.979996,143.100006,144.699997,132.498611,9037600
2018-07-16,144.770004,145.500000,144.009995,144.839996,132.626785,8207900
2018-07-23,144.789993,146.740005,144.470001,145.220001,132.974762,10529800
2018-07-30,145.220001,146.289993,144.059998,146.270004,133.936234,12393100
2018-08-06,146.309998,147.679993,145.940002,146.250000,133.917892,8692900
2018-08-13,146.399994,147.389999,144.639999,147.169998,134.760345,9902900
2018-08-20,147.449997,148.759995,147.160004,148.679993,136.142990,12084100
2018-08-27,149.320007,150.770004,149.100006,150.070007,137.415833,12517800
2018-09-03,149.889999,150.100006,148.130005,148.580002,136.051453,10041300
